created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 11:52:15 +0000 2024;1785275974126653888;"@deluvanese Ga bisa.";0;1;0;0;in;1359099088373915649;1785273051652980785;felisfamiliaris;https://twitter.com/felisfamiliaris/status/1785275974126653888
Tue Apr 30 11:52:08 +0000 2024;1785275943499727334;"ini sangat aku. Kalau time tengah lapar, sanggup la bagi kucing kat kedai makan tu ayam seketul. Sekali dia blah macam tu je. Thanks wey kucing";0;0;0;0;in;833492131649986560;1785275943499727334;thjrzmn;https://twitter.com/thjrzmn/status/1785275943499727334
Tue Apr 30 11:52:00 +0000 2024;1785275908917727547;"@yellowrainz LANCAR2 PAK";0;0;0;0;in;74186914;1785233453577056561;KucingSihir;https://twitter.com/KucingSihir/status/1785275908917727547
Tue Apr 30 11:51:59 +0000 2024;1785275904933200248;"IH LUCUNYA, GUA LIAT JISEOK KELUAR DARI GORONG GORONG KAYA LIAT KUCING 😭😭😭";1;0;0;0;in;1608353418929934337;1785275904933200248;keepmenyala;https://twitter.com/keepmenyala/status/1785275904933200248
Tue Apr 30 11:51:53 +0000 2024;1785275879322759492;"narkoba sebenarnya adalah bronis gele";0;2;0;1;in;1758315584440438784;1785275879322759492;worseupi;https://twitter.com/worseupi/status/1785275879322759492
Tue Apr 30 11:51:52 +0000 2024;1785275876235722772;"@xariawn Kucing rese yg kemaren aja";0;0;0;0;in;546434570;1785250944130965725;Aauuuuukk;https://twitter.com/Aauuuuukk/status/1785275876235722772
Tue Apr 30 11:51:42 +0000 2024;1785275835521654913;"@kavehoney 😭😭 padahal baru kukasih makan. Kenapa ya kucing ga kenyang kenyang, apa cuma kucingku aja? 😭";0;0;0;0;in;1757386237294632960;1785273744212349060;jintyuan;https://twitter.com/jintyuan/status/1785275835521654913
Tue Apr 30 11:51:31 +0000 2024;1785275788063015148;"@amaliamiaw @kochengfs Kucing kedut kedut 😭@pepengbison";0;0;0;0;in;1002651502018641920;1785217213810807073;diazzuzuzu;https://twitter.com/diazzuzuzu/status/1785275788063015148
Tue Apr 30 11:51:26 +0000 2024;1785275768861597808;""klo kau ndmau jg kucingmu bawa ke tbk banya aja yg ksi makan" heh tante angkat rumahmu pindah sana nd mgkin dong kan kucing gue yang salah? iyakan wk";0;0;0;0;in;1607030175203725312;1785275768861597808;b_lovezx;https://twitter.com/b_lovezx/status/1785275768861597808
Tue Apr 30 11:51:09 +0000 2024;1785275694706299010;"@beomcinan DIKIRA KUCING";0;0;0;0;in;1601845499224461312;1785248153245295038;jaewonori;https://twitter.com/jaewonori/status/1785275694706299010
Tue Apr 30 11:51:06 +0000 2024;1785275683876598122;"@kochengfs Ponakan ku juga gendong kucing ku dengan ngawur, langsung aku marahin dia trus aku kasih tau kalo gendong kucing kayak gitu bikin kucing nya sakit dan ga nyaman";0;0;0;0;in;1576050761288404992;1785233582040248489;luvinthesize;https://twitter.com/luvinthesize/status/1785275683876598122
Tue Apr 30 11:51:05 +0000 2024;1785275680663785798;"@queanaphrodite Kucing nya sangean. 🤣";0;0;0;0;in;1562012135042953216;1785234173193752708;daripadaitu;https://twitter.com/daripadaitu/status/1785275680663785798
Tue Apr 30 11:50:56 +0000 2024;1785275640394207360;"@kimiraae kucing aja";0;0;0;0;in;1485966359465201664;1785271937331253617;flowryrora;https://twitter.com/flowryrora/status/1785275640394207360
